SQ_CANDIDATO,VR_BEM_CANDIDATO,DS_CARGO,QT_VOTOS,NM_VOTAVEL
210000634282,157000000000.0,Vereador,28,RAFAEL ALMEIDA MARINS
210000634283,35000000000.0,Vereador,30,ROBERTO MATIAS SIQUEIRA BITENCOURT
210000634284,384000000000.0,Vereador,148,ROGÉRIO DA SILVEIRA VAZ
210000634286,8000000000.0,Vereador,5,JOSÉ CARLOS CAVALHEIRO COUTINHO
210000634287,112210700000.0,Vereador,75,JÚLIO SANDRO AMARAL DE SOUZA
210000634289,328000000000.0,Vereador,84,JESUÍNO ELIAS SERBA ROSA
210000634581,15000000000.0,Vereador,118,MARLI TEREZINHA MEREGALLI
210000634582,9500000000.0,Vereador,19,VALDECIR CARLOS RIBEIRO DE MATTOS
210000634583,141631760000.0,Vereador,127,ALCINDO LUIZ FERNANDES LEITE
210000634584,8500000000.0,Vereador,15,ELIZANDRA FÁTIMA ROGALSKI
210000634585,10000000000.0,Vereador,65,ALEXANDRE ZANCANARO
210000634586,267000000000.0,Vereador,36,FÁBIO MONTEMEZZO
210000635384,357913000000.0,Vereador,704,SILVESTRE DE OLIVEIRA GARCIA
210000635385,212874040000.0,Vereador,967,VALDECIR SCHROER
210000635386,14500000000.0,Vereador,122,GIANE PATRICIA DA SILVA
210000635387,66000000000.0,Vereador,586,CARLOS RIVELINO KARLOH
210000635388,70000000000.0,Vereador,474,CLAUDIO JADIR FELTES
210000635389,400620000000.0,Vereador,92,MÁRCIA GORETI DA SILVA
210000635390,227087130000.0,Vereador,266,MARCIO FERNANDO FELLER
210000635391,270454800000.0,Vereador,580,NEIDI IONE ROOS ZENI
210000635393,53500000000.0,Vereador,404,NEIMAR LUIZ PARREIRA
210000635394,26000000000.0,Vereador,326,SILVIA ROSANA DE MOURA SANTOS
210000635395,35500000000.0,Vereador,1073,WILLIAN DA SILVA PROCKSCH
210000635396,410000000000.0,Vereador,384,VINÍCIO JAIR WALLAUER
210000635398,605606540000.0,Vereador,340,CÍCERO ALEXANDRE DE ARAUJO
210000635399,12600000000.0,Vereador,84,CLEODIR DIAS
210000635400,71300000000.0,Vereador,28,JOSÉ JOÃO HIRT
210000635401,301000000000.0,Vereador,57,JUAREZ BATISTA DE LEÃO
210000635402,87834120000.0,Vereador,211,ELITON JULIANO FREITAG
210000635403,1000000000.0,Vereador,25,ROSELAINE CARVALHO DA SILVA
210000635404,331000000000.0,Vereador,27,CLAUDIO LUIS GASQUE DE OLIVEIRA
210000635405,37654000000.0,Vereador,176,ENIO ADOLFO WALLAUER
210000635406,30500000000.0,Vereador,67,RENATO ALVES DE LIMA
210000635407,63000000000.0,Vereador,52,GRACIELE JOHN DA SILVA
210000635408,66919180000.0,Vereador,69,GRAZIELA DE OLIVEIRA SANTOS
210000635409,500000000.0,Vereador,11,CLEONICE TEREZINHA KRUGER DOS SANTOS
210000635410,250200000000.0,Vereador,149,FABIANO DE ANDRADE CARDOSO
210000635411,1000000000.0,Vereador,48,LENIR TERESINHA PERBONI DE ANDRADE
210000635412,6200000000.0,Vereador,89,CLAUDIR BÜRHING GARCEZ
210000635413,215800000000.0,Vereador,113,ELBIO LUIS DOS SANTOS
210000635414,98074000000.0,Vereador,61,HUELTON HESPER DE AGUIAR
210000635415,10396000000.0,Vereador,68,JOÃO VITOR GUEDES DA FONTOURA
210000635416,700000000.0,Vereador,20,LIDIANE DINARTE MACHADO
210000635417,700000000.0,Vereador,16,ANA JAIRA RAMOS DE SOUZA
210000635418,80585810000.0,Vereador,109,MARCOS ALEXANDRE MEINHARDT
210000635419,800000000.0,Vereador,9,MARCOS ANDRÉ KNEVITZ
210000635420,397000000000.0,Vereador,19,KELEN JAQUELINE ADAM
210000635421,25127000000.0,Vereador,84,PEDRO CAMILO SCHMITZ
210000635422,120100000000.0,Vereador,181,NEUZILDO DOS SANTOS
210000635423,700000000.0,Vereador,41,SABRINA MAGALI KOPPE
210000635424,64907000000.0,Vereador,15,SOLANGE HAACK BORN
210000635426,369960940000.0,Prefeito,12525,LEANDRO MARCIANO HORLLE
210000635427,639820000000.0,Vereador,456,CARINE SANTOS MARTINI
210000635428,41309970000.0,Vereador,141,ANGELINA DE FATIMA CAMARGO FIDENCIO
210000635429,10000000000.0,Vereador,216,ZENEIDE APARECIDA WALLAUER
210000635430,113935080000.0,Vereador,50,RUMALDO RENATO BLOSS
210000635431,1699576100000.0,Vereador,726,MARIVALDO PEREIRA LEAL
210000635432,2850000000.0,Vereador,76,GIÁCOMO VELASQUES PEREIRA
210000635433,900000000.0,Vereador,39,AMARILDO SOUZA DOS SANTOS
210000635434,560000000000.0,Vereador,157,FABIO ROMÃO HENNEMANN
210000635435,175000000000.0,Vereador,417,VILMAR PEREIRA
210000635436,1102493370000.0,Vereador,169,RENATO MILTON SANDER
210000635437,4300000000.0,Vereador,153,NATANAEL ROBERTO ALF ENGEL
210000635438,221000000000.0,Vereador,34,ANA MARIA LINDEN
210000635439,167895910000.0,Vereador,74,JOSÉ LEONILDO MELFIOR
210000635440,65200000000.0,Vereador,80,ADELAIDE MARLENE ARNOLD
210000635443,9900000000.0,Vereador,164,ADRIANA REGINA GOMES
210000635444,59211900000.0,Vereador,81,ALEXANDRE SCHEFFER
210000635445,289442770000.0,Vereador,508,DIANA NATALI SPOHR
210000635446,154800000000.0,Vereador,118,MARISTELA MARIA BICKEL
210000635447,21790000000.0,Vereador,278,NAIM RICARDO PIRES
210000635448,9530000000.0,Vereador,439,GILMAR PEREIRA DA SILVA
210000635450,8569220000.0,Vereador,471,JULIANO MULLER DE OLIVEIRA
210000635452,88990000.0,Vereador,237,VIVIANE DE MELLO
210000635454,110190000.0,Vereador,46,ANA CARINA HAAG KLEIN
210000635455,166154890000.0,Vereador,140,VALDAIR DE MEDEIROS
210000635456,217817770000.0,Vereador,151,LUIZ ANTONIO GEWEHR
210000635457,3924000000.0,Vereador,184,ONESIO DA SILVEIRA TIETBOHL
210000635458,342606720000.0,Vereador,226,LUIS CARLOS TROMBETTA
210000635459,20568000000.0,Vereador,93,MIGUEL LUIZ TOME FRANZEN
210000635460,3387000000.0,Vereador,13,REGINA MARIA MARTINS FETTER
210000635461,114158940000.0,Vereador,365,CARLINHOS MICHAELSEN
210000635462,210298730000.0,Vereador,317,SERGIO FELLES
210000635463,6228000000.0,Vereador,12,JURACI DE FATIMA SANTOS
210000635465,85965250000.0,Vereador,36,ARIANE ANNA MARCHNER
210000635467,4250000000.0,Vereador,22,GILSON ANTONIO PERONE DE MEDEIROS
210000635469,20000000000.0,Vereador,165,ANGELA MARIA SCHAEFER
210000635471,20000000000.0,Prefeito,8085,GUTO JARDEL SCHERER
210000635473,32505210000.0,Prefeito,149,ALINE CHIESA GONÇALVES
210000635475,71060000000.0,Vereador,21,ELIEL ANDRÉ LEITZKE
210000635476,20419000000.0,Vereador,12,TIAGO DA SILVA DE MATTOS
210000635648,6000000000.0,Vereador,55,IVONE MARGARIDA HELLER CARDOSO DOS SANTOS
210000635649,397000000000.0,Vereador,639,RICARDO SAMUEL MENDONÇA LEAL
210000635652,174000000000.0,Vereador,420,ANTONIO CESAR SANTOS FONSECA
210000635655,300000000000.0,Vereador,84,ELY UBIRAJARA ALVES BALBUENO
210000635658,4503000000.0,Vereador,176,CATIANA LEITE NUNES
210000635659,15000000000.0,Vereador,134,CELSO RUDIMAR DA SILVA
210000635660,206000000000.0,Vereador,79,CRISTINE SCHUNCK
210000635661,250000000000.0,Vereador,352,SERGIO MACIEL BERTOLDI
210000635662,501676000000.0,Vereador,583,VANDERLEI DE PAULA GOMES
210000635663,450000000000.0,Vereador,1154,GIOVANA DOS SANTOS THIAGO
210000635665,230000000000.0,Vereador,159,ROSELI FANEZZI
210000635666,100000000000.0,Vereador,245,CARLOS AUGUSTO DOS SANTOS FONTES
210000635667,36000000000.0,Vereador,1117,CLADIR CARDOSO LEANDRO
210000635670,169970000000.0,Vereador,66,JOAO CARLOS DA CRUZ PEREIRA
210000635671,158000000000.0,Vereador,127,JOSE ELIAS DOS SANTOS CABREIRA
210000635672,5000000000.0,Vereador,305,NILTO DO NASCIMENTO RODRIGUES
210000635673,24982140000.0,Vereador,28,SHEILA BARCELOS DE CHRISTO
210000635742,1236948000000.0,Prefeito,18554,MARCELO PINHEIRO SLAVIERO
210000635744,3049706000000.0,Vereador,939,ROBERTO CHAVES PEREIRA
210000635745,142000000000.0,Vereador,352,ÉLEN MARIANA MACHADO DE SOUZA DA SILVA
210000635746,430000000000.0,Vereador,1110,ISABELA RECH SCHUMACHER
210000635747,9922000000.0,Vereador,172,JACSOM DE MACEDO DA SILVA
210000635748,185446780000.0,Vereador,434,MÁRCIA DOS SANTOS OPILHAR
210000635749,488100000000.0,Vereador,5618,MAURICIO BEDIN MARCON
210000635750,118000000000.0,Vereador,387,PATRÍCIA TASSO
210000635751,948000000000.0,Vereador,1603,RICARDO ZANCHIN
210000635752,136000000000.0,Vereador,360,GREGORIO BASTOS NETO
210000635753,757000000000.0,Vereador,1736,MAURICIO FERNANDO SCALCO
210000636180,166000000000.0,Vereador,57,VALDIR MARTINS VARGAS
210000636181,49800000000.0,Vereador,82,JAIR FERREIRA COSTA
210000636182,177000000000.0,Vereador,300,JAIRO SANTOS DA SILVA
210000636184,40000000000.0,Vereador,192,LUIZ ANDRÉ OLIVEIRA RAMOS
210000636188,350864890000.0,Vereador,16,JOÃO ADELAR ANGER
210000636189,51800000000.0,Vereador,86,MARIA FÁTIMA ROSA
210000636190,693644290000.0,Vereador,1140,JOSE GERALDO DE FARIAS
210000636192,15000000000.0,Vereador,37,GIOVANI PORTO PORTELA
210000636195,250000000000.0,Vereador,127,DIRCEU CORADELI
210000636196,250000000000.0,Vereador,203,IZABEL CRISTINA KUBIAK FISCHER
210000636197,850000000.0,Vereador,287,NOEMI SILVA DOS SANTOS
210000636198,133000000000.0,Vereador,30,FLÁVIO ROSA COSTA
210000636199,64000000000.0,Vereador,44,PAULO RICARDO DA LUZ DE MELO
210000636231,2100000000.0,Vereador,4,APARECIDA ROSMERI BORGES VIEIRA
210000636232,121200000000.0,Vereador,74,ELTON LUIZ MAI
210000636233,82000000000.0,Vereador,358,JAILSON FERREIRA DA SILVA
210000636234,12065000000.0,Vereador,298,FRANCIELI MIILER
210000636235,79000000000.0,Vereador,158,OSMAR ALTAIR RODRIGUES
210000636236,9900000000.0,Vereador,105,ALEXANDRE HAGEMANN DE AZEREDO
210000636237,1522000000.0,Vereador,45,CLAUDIO PUNTEL
210000636238,1005000000.0,Vereador,58,ENI BORGES DE MACEDO
210000636239,99755680000.0,Vereador,37,IROMENES JESUS DE OLIVEIRA
210000636240,181324940000.0,Vereador,23,RUBENS FARINON
210000636241,1503330000.0,Vereador,62,DARI MIGUEL MACHADO
210000636242,73277650000.0,Vereador,97,PATRIC ANDRÉ REDIN
210000636243,51132350000.0,Vereador,115,IZABEL APARECIDA DE SOUZA
210000636244,350489670000.0,Vereador,63,NELCI DE SOUZA SCHWERTZ
210000636245,4500000000.0,Vereador,48,ADEMAR FRANCISCO VENSO
210000636246,7500000000.0,Vereador,95,IVALCIR TESTOLIN PEROTONI
210000636247,14000000000.0,Vereador,37,MARIA ÂNGELA SOUZA DE JESUS
210000636248,14200000000.0,Vereador,26,EDEVANDRO RODRIGUES DE CANDIDO
210000636249,96780000000.0,Vereador,35,LUCIANA APARECIDA BEZERRA
210000636252,102025680000.0,Vereador,240,ORLANDO VIEIRA FURTADO FILHO
210000636253,310041000000.0,Vereador,269,LUZIANE EILERT DE VASCONCELOS
210000636257,169453030000.0,Vereador,178,JOSÉ LUÍS CARVALHO BARRETO
210000636259,8000000000.0,Vereador,258,ALEXANDRE DE SOUZA FERNANDES
210000636263,228622700000.0,Prefeito,1482,LUIZ CARLOS PINTO RIBEIRO
210000636264,1971305540000.0,Vereador,1456,ANA LUCIA COUTO CORONEL
210000636265,213455430000.0,Vereador,1424,BERNARDO HENRIQUE GAZZONI DEGRAZIA HOWES
210000636266,598000000000.0,Vereador,365,FÁBIO GUSTAVO FIGUEIRA DE DEUS
210000636268,5048892510000.0,Vereador,3637,MARIANA HENNIG PIMENTEL
210000636269,110000000000.0,Vereador,1164,CLOALDO AMARAL FILHO
210000636270,937000000000.0,Vereador,863,ELIDA VIVIANE OSCAR MENGARDA
210000636271,60000000000.0,Vereador,2907,JUAN CESAR BUHLER SAVEDRA
210000636273,39000000000.0,Vereador,3145,TIAGO JOSÉ ALBRECHT
210000636275,367972790000.0,Vereador,14279,FELIPE ZORTEA CAMOZZATO
210000636276,1510989690000.0,Vereador,524,ELISA MARIA GIANLUPI
210000636277,605000000000.0,Vereador,496,GRÉGOR MOURA DE CARVALHO
210000636278,18825070000.0,Vereador,103,DANIELA LORENZI
210000636279,301850000000.0,Vereador,75,ILDO JOAO KRENCHINSKI
210000636280,152040000000.0,Vereador,161,JOÃO RAMOS
210000636281,10945780000.0,Vereador,52,LUCIANO SCHAFER
210000636284,160000000000.0,Vereador,226,PRISCILA VOIGT SEVERIANO
210000636285,15092430000.0,Vereador,301,VINICIUS STONE SILVA
210000636288,17500000000.0,Vereador,43,CLAUDIA LUANA FRAGA OLIVEIRA
210000636292,230000000000.0,Vereador,54,JOCELITO DOS SANTOS
210000636293,82716640000.0,Vereador,35,MARTA FRAGA DE SOUZA
210000636295,40000000000.0,Vereador,84,MARIA ELENA DA SILVA NASCIMENTO
210000636296,49000000000.0,Vereador,124,HEDISON ALVES DE LIMA
210000636297,35000000000.0,Vereador,90,MICHELE FORTES PRESTES
210000636299,12000000000.0,Vereador,34,SANDRO OLIMAR BARROS PEREIRA
210000636300,50000000000.0,Vereador,71,VANDERLEI DE OLIVEIRA
210000636322,138000000000.0,Vereador,154,WANDERLEI SANTOS PAZ
210000636323,549006120000.0,Vereador,262,JESUS SILVA DA COSTA
210000636324,20000000000.0,Vereador,260,SIVENS HENRIQUE GOMES CARVALHO
210000636325,606129200000.0,Vereador,216,CINTIA LOPES DORNELES
210000636326,57223750000.0,Vereador,592,MOISES PEREIRA FONTOURA
210000636327,209000000000.0,Vereador,480,VOLMIR FERREIRA DA SILVEIRA
210000636328,11989000000.0,Vereador,300,CLÓVIS LEANDRO DE MELO JAPUR
210000636330,241841920000.0,Vereador,540,JEFERSON BRUNING
210000636331,780000000000.0,Vereador,425,ROGÉRIO PLOCHOCKI OLIVEIRA
210000636332,663480000.0,Vereador,176,ANTONIO CARLOS BENITES MONTEIRO
210000636333,150000000000.0,Vereador,189,CLAUDIO EMILIO RODRIGUES MACHADO
210000636334,58138000000.0,Vereador,162,ELAINE GOMES LOPES
210000636338,517000000000.0,Vereador,215,ANTONIO ALAERTE CORTELINI BORBA
210000636339,16522000000.0,Vereador,75,CLAUDIA LOPES VAREIRO
210000636340,64500000000.0,Vereador,256,JOSÉ LUIZ MACHADO DE ANDRADE
210000636341,103000000000.0,Vereador,614,DILEUSA TEREZINA SOARES ALVES
210000636342,100000000000.0,Vereador,749,EDER DE OLIVEIRA FIORAVANTE
210000636344,8000000000.0,Vereador,118,CARLOS OLIVEIRA ALMEIDA
210000636346,124000000000.0,Vereador,385,EDSON ROBERTO CHERVENSKI MORAES
210000636347,13000000000.0,Vereador,144,CLAUDIO ROBERTO PAIM DA SILVA
210000636348,58300000000.0,Vereador,567,JAIME ANTONIO PRATES DUARTE
210000636350,8900000000.0,Vereador,34,LILIANE TRINDADE SOUZA
210000636351,685500000000.0,Vereador,26,SUZETE MOURA RAMOS MURUCI
210000636355,180000000000.0,Vereador,336,LEANDRO DE MIRANDA SOLTAU
210000636361,10000000000.0,Vereador,43,VALDIR JOSE DOS SANTOS
210000636366,14000000000.0,Vereador,156,JORGE AUGUSTO ALVES DA SILVA
210000636367,66853850000.0,Prefeito,1578,CLAUDEMIR JOSE LOCATELLI
210000636369,225000000000.0,Vereador,213,ALEXANDRE JACINTO DA SILVA
210000636370,139544750000.0,Vereador,91,REGINA NEGRINI
210000636371,15000000000.0,Vereador,65,GILMAR MERA
210000636372,22000000000.0,Vereador,20,EVERALDO DE OLIVEIRA
210000636373,86213550000.0,Vereador,132,IEDA PARIZOTO
210000636374,97649310000.0,Vereador,203,MARINES LOCATELLI DA SILVA
210000636375,375344530000.0,Vereador,135,ADIR CAPELARI
210000636376,35000000000.0,Vereador,107,ELONIR FRANCESCHI
210000636377,623069470000.0,Vereador,128,IVANIR MORAES BIER
210000636378,276109500000.0,Vereador,100,PAULO TARSO DA ROSA
210000636379,32029940000.0,Vereador,131,VALDIR INACIO RAFFAELLI
